CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2016-1-1,14,7,1,7,3,-1,93,76,34,1034,1031,1026,6,3,1,14,5,,0.00,3,,157
2016-1-2,18,12,7,8,6,4,93,67,34,1026,1023,1020,8,5,2,14,6,,0.00,,,238
2016-1-3,20,14,9,11,9,7,94,75,41,1023,1021,1019,4,3,2,14,5,,0.25,4,中雨,71
2016-1-4,13,12,12,13,12,9,100,94,72,1022,1020,1019,3,1,0,11,5,,4.06,5,雾-中雨,25
2016-1-5,12,10,8,12,9,7,100,94,84,1026,1022,1017,11,3,0,26,11,,9.91,6,雾-中雨,25
2016-1-6,9,8,8,8,7,5,100,87,74,1030,1027,1024,5,4,2,18,11,,6.10,6,中雨,10
2016-1-7,10,8,6,6,5,4,87,77,65,1030,1028,1027,7,4,2,14,8,,2.03,6,,26
2016-1-8,7,6,4,5,2,0,93,77,54,1030,1028,1026,7,4,2,18,10,,0.51,5,中雨,3
2016-1-9,11,6,2,4,2,-3,100,73,40,1029,1026,1024,5,3,2,11,3,,1.02,3,中雨,105
2016-1-10,10,8,6,9,7,4,100,92,76,1025,1023,1022,5,2,0,14,5,,5.08,5,中雨,81
2016-1-11,9,7,6,9,7,4,100,95,88,1029,1024,1022,6,3,1,21,14,32,4.06,6,中雨,34
2016-1-12,6,4,3,5,2,0,93,81,69,1031,1029,1027,10,6,3,21,13,,0.76,6,中雨,11
2016-1-13,6,3,2,1,-1,-2,87,73,62,1030,1028,1026,7,5,3,14,10,,0.00,6,,10
2016-1-14,9,4,1,2,0,-2,100,69,35,1028,1025,1022,5,4,2,11,5,,0.00,5,中雨,79
2016-1-15,12,8,4,5,1,-3,93,66,35,1023,1021,1019,8,5,2,11,6,,0.00,6,中雨,192
2016-1-16,12,6,1,7,3,0,100,78,46,1022,1019,1015,6,4,0,21,8,,7.11,5,雾-中雨,110
2016-1-17,9,6,3,8,6,2,100,92,78,1021,1016,1013,5,3,0,18,11,,6.10,6,中雨,321
2016-1-18,7,4,2,4,1,-3,100,80,48,1029,1024,1020,4,2,1,21,10,40,0.00,6,,343
2016-1-19,6,2,-1,-3,-7,-11,75,53,17,1033,1031,1029,8,5,3,18,10,,0.00,3,,29
2016-1-20,5,2,-1,2,-3,-6,93,69,47,1034,1031,1028,11,9,2,18,11,,5.08,6,中雨-中雪,73
2016-1-21,2,1,1,1,1,0,100,95,89,1031,1028,1027,3,2,1,14,10,,5.08,6,中雨-中雪,5
2016-1-22,3,2,1,2,1,0,100,94,87,1036,1030,1027,6,3,0,26,10,,7.87,6,雾-中雨-中雪,350
2016-1-23,1,-1,-3,0,-6,-13,93,67,23,1042,1039,1036,16,7,1,35,21,55,0.76,4,中雨-中雪,326
2016-1-24,-3,-5,-7,-9,-15,-18,64,43,18,1044,1042,1039,18,13,10,40,24,61,0.00,3,,308
2016-1-25,3,-3,-8,-4,-11,-17,80,56,24,1043,1038,1034,18,15,10,18,11,,0.00,,,237
2016-1-26,8,2,-4,-2,-6,-12,86,59,14,1035,1032,1029,19,11,6,11,8,,0.00,8,,196
2016-1-27,6,4,3,4,2,-3,100,87,65,1030,1028,1027,10,5,2,6,3,,0.51,6,中雨,113
2016-1-28,7,6,4,6,5,4,100,96,93,1026,1022,1020,3,2,0,11,3,,7.87,6,中雨,302
2016-1-29,7,6,4,6,5,2,100,93,82,1028,1024,1020,8,4,0,21,10,,2.03,6,中雨,334
2016-1-30,6,4,3,3,2,1,93,85,73,1032,1029,1026,10,5,2,14,10,,2.03,5,中雨,342
2016-1-31,6,3,1,2,1,-1,100,85,67,1034,1032,1029,7,4,0,18,8,,7.11,5,中雨-中雪,31
2016-2-1,1,0,-1,0,-3,-6,100,80,60,1036,1035,1034,7,5,2,21,13,,0.76,6,中雪,342
2016-2-2,5,1,-2,-2,-6,-10,93,61,27,1035,1033,1030,8,5,2,14,10,,0.00,5,,326
2016-2-3,9,3,-2,-1,-3,-7,100,69,21,1032,1030,1028,7,4,2,14,6,,0.00,,,172
2016-2-4,5,2,0,2,0,-3,93,80,63,1030,1028,1026,5,3,2,11,5,,0.25,6,中雪,274
2016-2-5,10,5,0,3,-1,-8,100,71,23,1030,1028,1026,8,4,0,14,6,,0.00,6,雾,275
2016-2-6,8,4,1,-1,-5,-11,87,52,15,1033,1030,1028,11,6,2,26,11,,0.00,5,,311
2016-2-7,12,4,-2,-1,-5,-9,86,52,17,1031,1026,1022,14,9,6,21,10,,0.00,,,243
2016-2-8,18,8,-1,0,-3,-6,86,48,11,1026,1022,1019,14,6,3,21,8,,0.00,,,230
2016-2-9,22,12,3,4,1,-2,81,51,12,1024,1021,1019,14,11,10,14,6,,0.00,,,193
2016-2-10,23,13,4,11,4,-1,93,56,18,1020,1017,1015,26,17,8,26,6,,0.00,,,150
2016-2-11,24,17,11,15,13,9,100,79,51,1016,1014,1011,21,10,6,11,5,,1.02,3,中雨,155
2016-2-12,26,18,10,16,14,10,100,81,43,1014,1011,1007,19,5,2,14,3,,0.00,2,雾,85
2016-2-13,17,13,9,16,11,5,100,84,61,1021,1011,1005,7,5,2,26,10,43,1.02,6,中雨,336
2016-2-14,8,4,2,5,-2,-8,87,63,27,1033,1027,1021,21,10,6,32,24,50,1.02,6,中雨,334
2016-2-15,8,4,1,-7,-11,-15,52,33,10,1034,1031,1028,27,16,10,26,16,35,0.00,3,,316
2016-2-16,13,6,-1,-3,-6,-9,80,43,12,1031,1028,1024,23,19,14,21,10,,0.00,,,272
2016-2-17,13,7,1,1,-3,-8,87,49,15,1030,1028,1026,18,14,10,11,5,,0.00,,,143
2016-2-18,18,10,3,3,-1,-4,81,51,13,1026,1024,1021,18,9,6,18,6,,0.00,,,97
2016-2-19,13,9,6,7,5,2,87,71,44,1028,1024,1021,6,5,3,18,6,,0.00,,,12
2016-2-20,13,9,5,4,-4,-10,71,40,12,1031,1029,1026,10,6,4,21,11,,0.00,1,,341
2016-2-21,13,7,1,2,-1,-6,87,53,18,1030,1028,1026,10,7,6,18,8,,0.76,8,中雨,104
2016-2-22,9,7,6,7,6,2,100,91,62,1030,1027,1025,8,5,2,14,10,,10.92,5,中雨,80
2016-2-23,9,8,7,7,4,2,93,80,54,1036,1032,1029,7,5,2,26,13,,0.00,6,中雨,5
2016-2-24,11,8,4,4,1,-2,81,65,36,1039,1036,1035,8,6,2,18,13,,0.00,5,,54
2016-2-25,13,7,2,4,1,-3,87,64,27,1039,1035,1033,10,6,4,14,8,,0.00,,,97
2016-2-26,17,11,5,6,4,2,93,62,30,1033,1029,1026,10,6,3,14,5,,0.00,1,,222
2016-2-27,21,13,6,7,4,1,87,56,18,1027,1024,1022,14,10,6,18,8,,0.00,,,224
2016-2-28,23,15,7,8,4,1,82,54,13,1031,1024,1021,18,7,2,29,13,47,0.00,3,,284
2016-2-29,13,9,5,5,-1,-4,81,51,19,1035,1032,1031,7,5,2,26,13,32,0.00,5,中雨,41
2016-3-1,14,9,4,5,2,-1,87,65,25,1032,1029,1026,8,5,3,18,13,,0.00,3,,97
2016-3-2,22,13,5,10,6,3,93,67,21,1026,1023,1020,8,5,2,14,5,,0.00,,,117
2016-3-3,27,18,9,12,9,6,100,64,19,1021,1019,1016,11,5,2,18,5,,0.00,,,137
2016-3-4,27,19,11,12,10,5,94,61,21,1019,1017,1015,14,6,2,14,3,,0.00,3,,126
2016-3-5,27,20,13,13,11,8,82,58,29,1019,1017,1014,8,6,3,21,6,32,0.00,,,59
2016-3-6,19,16,12,14,12,11,94,84,67,1020,1019,1017,4,2,2,18,11,,0.00,4,,65
2016-3-7,25,18,11,16,12,11,100,81,44,1018,1015,1012,4,2,1,18,8,,0.00,6,雾,76
2016-3-8,13,10,7,13,10,5,100,95,83,1021,1015,1012,8,4,1,29,14,,21.08,4,中雨,37
2016-3-9,7,6,5,6,2,-2,93,72,47,1030,1026,1021,14,9,6,26,19,,2.03,6,中雨,16
2016-3-10,7,3,1,0,-3,-6,93,62,28,1033,1031,1029,13,10,5,26,16,,1.02,4,中雨-中雪,359
2016-3-11,11,4,-1,2,-3,-8,93,54,17,1031,1028,1025,14,8,5,14,8,,0.00,,,137
2016-3-12,15,8,2,5,1,-5,81,57,27,1025,1021,1017,10,7,4,21,10,,0.00,8,,107
2016-3-13,12,11,9,9,7,5,88,75,59,1024,1020,1017,7,4,2,21,10,,0.00,6,中雨,11
2016-3-14,14,9,5,6,3,-2,87,62,24,1028,1025,1023,9,6,3,18,13,32,0.00,5,,38
2016-3-15,16,11,6,6,4,-2,87,66,25,1025,1022,1018,10,5,2,21,13,32,0.00,8,,97
2016-3-16,21,15,9,9,6,3,88,61,25,1020,1018,1016,8,7,5,14,6,,0.00,,,65
2016-3-17,22,16,10,14,11,8,94,73,34,1018,1014,1011,8,5,3,18,6,,0.00,5,中雨,58
2016-3-18,20,18,15,14,13,11,94,74,53,1014,1012,1010,5,3,2,14,5,,0.00,6,中雨,11
2016-3-19,18,16,14,14,13,12,94,83,69,1021,1017,1014,7,2,1,18,8,,0.00,5,中雨,52
2016-3-20,18,14,11,11,6,-5,100,64,13,1023,1021,1020,14,6,2,26,13,,0.00,5,,85
2016-3-21,15,12,9,10,8,4,93,75,45,1024,1022,1021,8,6,3,14,13,,0.00,3,中雨,80
2016-3-22,14,13,12,12,11,9,94,85,72,1020,1017,1015,8,5,2,14,10,,0.25,3,中雨,99
2016-3-23,14,12,9,11,6,-3,100,70,31,1030,1022,1017,19,7,2,29,16,43,1.02,5,中雨,39
2016-3-24,10,8,7,0,-1,-3,61,49,30,1031,1029,1028,21,12,10,21,16,,0.00,4,,1
2016-3-25,15,11,7,4,-4,-8,76,37,11,1030,1028,1025,24,16,10,18,10,,0.00,,,11
2016-3-26,17,11,5,5,-1,-7,87,48,15,1028,1026,1023,11,8,6,26,8,,0.00,6,中雨,94
2016-3-27,17,11,5,6,3,-4,93,61,19,1028,1026,1024,10,6,3,18,11,,0.00,4,,267
2016-3-28,22,13,6,6,2,-4,87,50,15,1027,1023,1020,14,7,5,18,8,,0.00,,,214
2016-3-29,24,17,11,7,3,1,76,39,18,1021,1019,1018,14,10,5,21,10,,0.51,8,,237
2016-3-30,18,15,12,12,11,7,95,79,55,1023,1020,1017,10,7,2,14,8,,5.08,4,中雨,215
2016-3-31,18,15,12,13,12,10,94,83,51,1018,1016,1015,10,5,1,18,6,,0.00,5,中雨,329
2016-4-1,26,18,10,15,12,9,100,77,33,1016,1014,1012,10,4,0,18,5,,0.00,2,雾,112
2016-4-2,24,19,15,17,16,13,94,83,49,1014,1013,1010,5,3,0,21,6,,18.03,5,中雨-雷暴,40
2016-4-3,17,14,13,17,15,12,100,95,83,1017,1013,1010,6,3,0,21,10,35,26.92,4,中雨-雷暴,350
2016-4-4,16,13,12,12,10,6,100,77,55,1019,1016,1014,10,6,3,21,11,,0.00,6,中雨,55
2016-4-5,20,17,13,14,11,7,94,73,51,1016,1015,1013,11,6,4,18,8,,0.00,4,,73
2016-4-6,21,18,14,20,16,12,100,91,73,1013,1008,1003,6,3,2,29,6,,10.92,4,中雨-雷暴,145
2016-4-7,21,17,14,20,14,13,100,92,77,1017,1013,1006,10,6,2,18,8,,17.02,6,中雨,19
2016-4-8,23,18,14,16,14,13,100,82,56,1019,1016,1014,8,4,2,14,6,,4.06,6,中雨,77
2016-4-9,24,19,15,16,14,11,100,75,37,1015,1013,1010,13,5,2,14,6,,0.00,4,中雨,86
2016-4-10,22,18,14,17,15,12,100,82,52,1015,1012,1010,10,4,2,14,8,,0.00,1,,76
2016-4-11,19,17,14,15,14,12,100,88,68,1018,1016,1015,8,5,2,21,11,,0.00,5,中雨,82
2016-4-12,24,20,16,19,16,14,94,85,49,1014,1010,1006,6,4,2,18,8,,0.51,6,中雨,88
2016-4-13,26,21,17,19,16,13,100,77,36,1009,1007,1005,7,4,1,14,6,,0.51,4,中雨,75
2016-4-14,27,21,15,18,14,7,100,75,22,1016,1013,1009,10,4,0,21,8,,0.76,5,雾-中雨,97
2016-4-15,26,21,16,15,11,1,88,56,16,1016,1014,1010,23,9,5,21,10,,0.00,4,中雨,138
2016-4-16,26,21,16,19,16,12,94,79,63,1015,1005,998,23,10,6,40,10,72,4.06,3,中雨-雷暴,218
2016-4-17,24,18,13,15,12,7,94,69,27,1019,1015,1012,14,9,3,18,10,,7.11,4,中雨,33
2016-4-18,23,17,12,12,10,7,88,67,29,1021,1019,1018,16,10,5,18,10,,0.51,3,中雨,101
2016-4-19,27,19,12,13,9,3,94,56,13,1022,1019,1015,21,9,5,21,8,,0.00,,,116
2016-4-20,20,18,16,19,15,10,100,82,48,1016,1012,1008,19,8,2,18,10,,14.99,4,中雨,189
2016-4-21,22,19,17,18,17,16,100,88,64,1012,1010,1006,14,8,2,18,8,,16.00,5,中雨,266
2016-4-22,27,21,15,20,17,15,100,82,48,1012,1010,1008,16,5,0,18,8,,16.00,5,中雨,141
2016-4-23,19,17,14,18,14,13,100,95,88,1013,1010,1007,9,4,2,26,16,,8.89,6,中雨,78
2016-4-24,16,14,14,15,14,13,100,94,85,1016,1014,1012,10,5,2,21,11,,4.06,6,中雨,70
2016-4-25,18,16,14,14,13,9,88,81,65,1016,1015,1014,10,8,3,18,11,,0.00,5,中雨,85
2016-4-26,18,17,15,16,15,13,100,94,83,1014,1011,1008,6,3,0,14,8,,18.03,6,雾-中雨-雷暴,42
2016-4-27,20,18,16,16,14,9,94,79,54,1012,1010,1008,14,7,1,21,10,,0.00,6,,323
2016-4-28,24,19,13,15,12,9,94,66,33,1017,1014,1012,13,9,5,21,13,40,0.00,3,,307
2016-4-29,27,20,13,15,12,7,94,61,24,1019,1016,1014,10,7,4,14,8,,0.00,2,,184
2016-4-30,30,22,14,15,13,7,94,59,16,1014,1012,1009,19,7,4,18,5,,0.00,2,,147
2016-5-1,32,23,15,19,16,13,94,60,23,1012,1009,1006,18,9,6,14,6,,0.00,,,126
2016-5-2,28,24,21,23,21,17,100,84,68,1008,1005,1002,14,6,2,18,8,,12.95,4,中雨-雷暴,192
2016-5-3,28,23,19,21,11,6,94,48,16,1013,1009,1002,23,12,3,32,18,50,0.00,4,中雨,280
2016-5-4,30,23,16,20,15,10,94,61,19,1014,1011,1009,18,10,6,18,5,,0.00,,,149
2016-5-5,28,24,22,22,21,17,95,80,64,1009,1008,1005,10,9,3,18,8,,5.08,2,中雨-雷暴,188
2016-5-6,32,26,21,23,22,20,100,76,44,1011,1008,1005,14,8,3,26,10,,0.00,3,,323
2016-5-7,22,18,14,20,16,12,100,91,82,1017,1014,1011,10,5,2,29,19,,17.02,5,中雨-雷暴,72
2016-5-8,17,16,14,16,15,13,100,94,88,1016,1013,1011,10,6,2,14,10,,5.08,6,中雨,79
2016-5-9,19,18,16,18,17,16,100,95,86,1013,1010,1007,4,2,0,14,6,,26.92,5,中雨-雷暴,55
2016-5-10,21,18,15,17,15,13,100,84,57,1013,1010,1007,11,6,3,21,11,,6.10,5,中雨,346
2016-5-11,27,21,14,16,14,9,100,71,21,1013,1011,1009,21,6,2,18,6,,0.00,4,,179
2016-5-12,32,24,16,19,17,14,88,63,29,1012,1009,1007,18,8,6,14,10,,0.00,,,147
2016-5-13,22,20,18,19,17,15,94,84,70,1021,1018,1012,7,4,2,21,13,,0.00,6,中雨,26
2016-5-14,29,23,17,21,18,15,88,73,45,1020,1016,1012,11,6,3,14,10,,0.00,6,,119
2016-5-15,27,21,14,21,17,13,94,81,65,1018,1013,1010,24,9,3,29,13,47,11.94,6,中雨,316
2016-5-16,25,20,14,14,10,0,94,59,12,1018,1017,1015,23,10,5,18,10,,0.00,4,中雨,347
2016-5-17,26,19,12,12,8,3,94,49,13,1018,1016,1014,18,10,7,21,8,,0.00,,,103
2016-5-18,25,19,14,13,9,5,68,49,22,1017,1015,1013,19,13,10,21,10,,0.00,,,100
2016-5-19,27,22,17,19,16,12,78,65,29,1014,1012,1011,11,8,6,26,11,,0.00,,,84
2016-5-20,20,19,18,19,18,16,100,91,72,1013,1012,1011,19,7,2,26,16,40,9.91,6,中雨,85
2016-5-21,22,20,19,21,20,18,100,94,88,1012,1010,1009,6,5,2,11,6,,20.07,6,中雨,329
2016-5-22,24,21,19,20,18,16,100,81,58,1014,1012,1011,18,7,3,18,10,,0.00,5,,354
2016-5-23,26,22,19,21,18,16,100,82,59,1013,1011,1009,6,4,1,18,8,,1.02,6,雾-中雨,1
2016-5-24,26,22,18,21,18,15,100,77,48,1012,1010,1008,10,5,2,14,5,,1.02,5,中雨,265
2016-5-25,30,24,19,23,21,18,94,77,55,1010,1008,1006,13,6,2,14,6,,0.00,3,中雨,155
2016-5-26,26,24,22,24,23,22,100,94,80,1011,1009,1007,10,4,0,11,6,,11.94,5,中雨,281
2016-5-27,23,22,21,23,22,21,100,94,88,1011,1009,1008,5,2,0,14,8,,3.05,6,雾-中雨,68
2016-5-28,25,23,21,23,22,21,100,94,83,1009,1007,1005,11,3,0,14,6,,11.94,6,中雨,65
2016-5-29,23,21,19,22,19,18,100,89,73,1009,1007,1004,10,5,2,18,8,,25.91,6,中雨,354
2016-5-30,27,23,19,21,20,18,100,84,56,1011,1009,1007,5,3,2,14,5,,0.00,5,,130
2016-5-31,33,27,21,26,23,21,100,82,52,1008,1006,1003,6,3,2,14,5,,0.00,3,中雨-雷暴,93
2016-6-1,26,22,19,25,21,17,100,95,83,1010,1004,1000,8,4,0,35,8,55,28.96,5,雾-中雨-雷暴,62
2016-6-2,24,21,18,19,18,15,94,83,64,1010,1009,1008,10,5,3,18,10,,1.02,4,中雨,72
2016-6-3,22,20,18,21,19,18,100,95,88,1008,1005,1003,7,4,2,14,10,,9.91,6,中雨,121
2016-6-4,27,23,20,21,19,18,100,80,49,1011,1007,1004,19,9,3,26,11,35,0.00,5,中雨,304
2016-6-5,28,23,18,19,18,17,100,74,40,1012,1010,1008,8,7,3,14,6,,0.00,3,,75
2016-6-6,32,26,20,23,21,19,94,78,44,1011,1009,1007,7,5,3,21,8,,0.51,2,中雨,68
2016-6-7,28,25,22,24,22,21,100,86,62,1010,1009,1007,5,3,2,14,8,,0.00,5,中雨,26
2016-6-8,29,26,22,24,23,20,100,87,61,1009,1008,1006,10,3,2,32,8,,2.03,4,中雨,23
2016-6-9,28,24,22,23,22,21,100,86,57,1010,1009,1008,8,5,2,18,10,,0.00,4,中雨,65
2016-6-10,33,27,22,25,23,21,100,78,46,1009,1007,1005,11,7,3,18,8,,0.00,4,,91
2016-6-11,30,28,25,26,24,23,94,85,70,1008,1006,1005,10,5,2,14,3,,3.05,4,中雨,237
2016-6-12,26,23,21,25,22,21,100,95,89,1005,1004,1003,10,5,2,29,11,,32.00,5,中雨-雷暴,38
2016-6-13,30,26,21,22,21,18,100,78,37,1006,1004,1002,14,6,1,11,6,,1.02,6,中雨,53
2016-6-14,34,27,21,25,22,20,100,75,35,1004,1001,1000,18,7,2,18,5,,0.00,3,,141
2016-6-15,34,28,23,26,23,21,100,81,49,1005,1001,999,11,8,3,18,8,,18.03,4,中雨,239
2016-6-16,26,23,22,23,21,19,100,85,62,1008,1005,1003,10,7,3,11,8,,0.51,4,中雨,244
2016-6-17,32,26,20,23,21,19,100,74,43,1009,1007,1005,14,9,3,14,6,29,0.00,3,,201
2016-6-18,29,26,23,24,22,21,89,77,60,1009,1008,1006,27,12,8,21,8,,0.00,4,中雨,205
2016-6-19,29,27,24,25,23,22,100,84,70,1009,1008,1006,23,10,6,21,10,,5.08,3,中雨,220
2016-6-20,29,26,23,25,24,23,100,90,61,1008,1006,1005,23,9,4,21,6,,5.08,4,中雨,324
2016-6-21,37,30,24,27,25,23,100,73,42,1007,1005,1003,19,9,4,21,6,,0.00,2,中雨,215
2016-6-22,36,31,27,27,26,23,94,78,43,1006,1004,1003,23,9,3,29,10,40,5.08,3,中雨-雷暴,256
2016-6-23,37,31,26,29,27,23,100,77,35,1006,1004,1000,23,5,2,14,3,,0.00,5,,174
2016-6-24,36,30,24,27,24,22,100,73,42,1009,1004,1001,23,9,3,29,13,,22.10,3,中雨-雷暴,278
2016-6-25,24,22,20,23,21,19,100,94,83,1013,1011,1008,10,5,2,21,10,,18.03,5,中雨,77
2016-6-26,22,20,19,21,21,19,100,97,87,1012,1011,1010,10,5,2,18,10,,34.04,6,中雨,101
2016-6-27,29,24,21,24,22,21,100,88,71,1010,1007,1006,19,6,2,18,5,,0.00,5,中雨,42
2016-6-28,30,27,23,25,23,21,100,89,68,1011,1008,1006,10,5,3,26,6,,10.92,5,中雨-雷暴,84
2016-6-29,27,25,23,25,23,22,100,90,71,1011,1010,1008,27,11,6,14,8,,7.87,3,中雨-雷暴,180
2016-6-30,34,28,22,26,24,22,100,74,49,1011,1008,1006,27,13,8,18,10,,0.51,2,,210
2016-7-1,33,29,26,26,25,23,96,77,50,1007,1005,1003,23,11,8,21,10,,2.03,4,中雨,211
2016-7-2,31,28,25,26,25,23,100,87,63,1008,1006,1003,18,6,1,18,10,,32.00,4,中雨-雷暴,45
2016-7-3,30,28,25,27,26,24,100,91,79,1007,1006,1005,8,4,2,11,5,,4.06,4,中雨-雷暴,235
2016-7-4,36,31,26,28,26,22,100,77,45,1006,1005,1003,23,7,1,18,5,,0.00,3,中雨-雷暴,193
2016-7-5,36,29,23,26,24,23,100,77,43,1012,1009,1005,19,11,10,21,8,,2.03,2,中雨-雷暴,235
2016-7-6,35,30,24,27,25,23,100,78,44,1012,1011,1009,19,9,3,18,5,,0.00,2,,65
2016-7-7,34,30,27,27,25,22,94,77,54,1011,1009,1007,18,10,2,26,10,,0.00,2,,87
2016-7-8,33,29,26,26,25,24,100,80,55,1008,1006,1003,23,11,8,26,14,35,0.51,3,中雨,80
2016-7-9,31,29,27,27,26,24,94,88,68,1005,1003,1002,19,10,4,26,13,,10.92,5,中雨,87
2016-7-10,31,29,27,27,26,25,100,88,69,1002,1001,999,16,9,5,21,13,,5.08,5,中雨,79
2016-7-11,31,29,27,28,27,26,100,90,72,1001,1000,998,10,6,2,14,6,,3.05,4,中雨-雷暴,108
2016-7-12,35,30,26,29,27,26,100,84,52,1002,1000,999,11,8,2,14,5,26,0.51,4,中雨,196
2016-7-13,36,31,27,28,27,25,94,77,46,1004,1001,999,11,10,5,26,6,,0.25,2,中雨-雷暴,238
2016-7-14,36,32,28,28,27,25,94,83,55,1004,1003,1001,16,10,6,29,6,47,0.00,2,中雨-雷暴,233
2016-7-15,37,32,27,27,26,24,100,71,42,1003,1000,998,21,9,4,26,8,,0.00,3,,237
2016-7-16,31,27,24,26,24,22,94,85,75,1008,1004,1000,18,7,3,18,10,,5.08,5,中雨,14
2016-7-17,33,29,24,27,25,23,100,80,51,1008,1007,1005,14,6,2,14,5,,0.00,5,,150
2016-7-18,34,29,25,27,25,23,100,81,49,1007,1005,1003,18,8,2,26,5,47,5.08,2,中雨-雷暴,137
2016-7-19,34,29,25,26,25,23,94,76,56,1006,1005,1003,18,11,10,14,5,,0.00,3,中雨,191
2016-7-20,37,32,27,26,24,21,90,62,30,1006,1004,1003,23,13,6,18,8,,0.00,1,,197
2016-7-21,38,32,27,26,24,22,89,59,32,1008,1006,1004,23,14,10,18,8,,0.00,2,,222
2016-7-22,38,33,29,27,25,23,84,61,35,1008,1006,1004,19,12,10,21,8,,0.00,2,,241
2016-7-23,39,33,28,27,26,22,89,61,32,1007,1006,1004,18,11,10,14,8,,0.00,4,,214
2016-7-24,40,34,29,27,26,22,89,62,28,1008,1007,1005,18,10,8,14,6,,0.00,2,,194
2016-7-25,39,34,29,28,27,24,89,65,33,1009,1007,1005,11,9,6,18,6,,0.00,1,,101
2016-7-26,40,34,29,28,26,23,84,63,32,1007,1005,1003,14,10,6,14,5,,0.00,2,中雨,211
2016-7-27,40,34,29,27,25,22,84,61,32,1006,1005,1003,18,10,6,35,10,55,0.00,2,雷暴,253
2016-7-28,39,34,29,27,26,23,79,62,34,1007,1005,1004,11,9,6,18,6,,0.00,3,,200
2016-7-29,39,34,29,27,25,23,84,61,33,1008,1006,1005,11,10,8,29,8,26,0.00,2,,185
2016-7-30,37,33,29,28,26,23,79,66,37,1008,1007,1005,10,8,6,26,8,,0.00,1,,91
2016-7-31,36,32,29,27,24,23,79,64,40,1009,1007,1005,19,11,10,32,13,,0.00,1,,99
2016-8-1,35,30,26,27,26,23,89,71,46,1008,1006,1005,23,12,10,21,11,,0.00,3,,89
